dataset,repeat,approach,penalty,alpha,lambda,solver,max_iter,max_iter_single,tol,time_sec,iters_single,iters_double,roc_auc,pr_auc,logloss,C,error
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,0.0,1e-08,0.5083020409801975,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,ERROR,l2,0.0,0.01,lbfgs,10000,,1e-08,,,,,,,,Option 'optim iteration limit': value out-of-bounds
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,200.0,1e-08,0.05348341795615852,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,200.0,1e-08,0.5901451150421053,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,200.0,1e-08,0.749382387031801,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,400.0,1e-08,0.07775904994923621,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,400.0,1e-08,0.5178309750044718,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,400.0,1e-08,0.5440718770259991,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,500.0,1e-08,0.04885909706354141,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,500.0,1e-08,0.5002762130461633,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,500.0,1e-08,0.5525190019980073,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,800.0,1e-08,0.04920438793487847,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,800.0,1e-08,0.4782478790730238,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,800.0,1e-08,0.5451367569621652,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,1000.0,1e-08,0.04849274398293346,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,1000.0,1e-08,0.4833452639868483,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,1000.0,1e-08,0.5526798459468409,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,2000.0,1e-08,0.04954321205150336,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,2000.0,1e-08,0.47454984905198216,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,2000.0,1e-08,0.5429982451023534,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,3000.0,1e-08,0.0491810409585014,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,3000.0,1e-08,0.4802510970039293,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,3000.0,1e-08,0.5420532620046288,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,4000.0,1e-08,0.0484380730194971,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,4000.0,1e-08,0.4802454939344898,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,4000.0,1e-08,0.5537254330702126,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,5000.0,1e-08,0.04875865706708282,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,5000.0,1e-08,0.6496890030102804,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
susy,0,hybrid(f32→f64),l2,0.0,0.01,lbfgs,10000,5000.0,1e-08,0.7379025269765407,9.0,94.0,0.8578902709649039,0.8634173453324664,0.4570306690530493,,
susy,0,single(f32),l2,0.0,0.01,lbfgs,10000,6000.0,1e-08,0.07820424495730549,9.0,,0.8529442256792288,0.8580424142761276,0.4655052079787016,,
susy,0,double(f64),l2,0.0,0.01,lbfgs,10000,6000.0,1e-08,0.56458844197914,0.0,94.0,0.8579218289670432,0.8634316091806498,0.4570072857684158,,
